Rank,Player_ID,Name,Nationality,Birth_Year,Play_Hand,Backhand,is_ghost
1.0,800586822,Ivan Ivanov,BUL,2008.0,Right Handed,Double Handed Backhand,False
2.0,800564683,Yannick Theodor Alexandrescou,FRA,2008.0,Unknown,Unknown,False
3.0,800680259,Luis Guto Miguel,BRA,2009.0,Unknown,Unknown,False
4.0,800579895,Ziga Sesko,SLO,2008.0,Unknown,Unknown,False
5.0,800692786,Jack Kennedy,USA,2008.0,Unknown,Unknown,False
6.0,800583844,Ryo Tabata,JPN,2008.0,Right Handed,Double Handed Backhand,False
7.0,800657117,Keaton Hance,USA,2008.0,Right Handed,Double Handed Backhand,False
8.0,800572931,Niels McDonald,GER,2008.0,Right Handed,Double Handed Backhand,False
9.0,800570117,Jamie Mackenzie,GER,2008.0,Right Handed,Double Handed Backhand,False
10.0,800543488,Zangar Nurlanuly,KAZ,2008.0,Unknown,Unknown,False
11.0,800732018,Michael Antonius,USA,2010.0,Unknown,Unknown,False
12.0,800575096,Thijs Boogaard,NED,2008.0,Unknown,Unknown,False
13.0,800590346,Nikita Bilozertsev,UKR,2008.0,Left Handed,Unknown,False
14.0,800692766,Kuan-Shou Chen,TPE,2008.0,Left Handed,Double Handed Backhand,False
15.0,800597355,Mathys Domenc,FRA,2009.0,Unknown,Unknown,False
16.0,800717286,Andrew Johnson,USA,2009.0,Unknown,Unknown,False
17.0,800571129,Flynn Thomas,SUI,2008.0,Unknown,Unknown,False
18.0,800696168,Yannik Alvarez,PUR,2008.0,Unknown,Unknown,False
19.0,800589798,Thilo Behrmann,AUT,2008.0,Unknown,Unknown,False
20.0,800600773,Nicolas Baena,PER,2008.0,Right Handed,Double Handed Backhand,False
21.0,800571859,Dimitar Kisimov,BUL,2008.0,Unknown,Unknown,False
22.0,800559166,Damir Zhalgasbay,KAZ,2008.0,Unknown,Unknown,False
23.0,800590474,Tito Chavez,ESP,2008.0,Unknown,Unknown,False
24.0,800646827,Mark Ceban,GBR,2009.0,Unknown,Unknown,False
25.0,800754035,Gavin Goode,USA,2008.0,Unknown,Unknown,False
26.0,800720203,Jack Secord,USA,2008.0,Unknown,Unknown,False
27.0,800654359,Emilio Camacho,ECU,2009.0,Unknown,Unknown,False
28.0,800658369,Dante Pagani,ARG,2008.0,Right Handed,Double Handed Backhand,False
29.0,800721316,Ryan Cozad,USA,2008.0,Right Handed,Double Handed Backhand,False
30.0,800591436,Kai Thompson,HKG,2008.0,Unknown,Unknown,False
31.0,800700658,Hyu Kawanishi,JPN,2008.0,Right Handed,Double Handed Backhand,False
32.0,800793512,Tanishk Konduri,USA,2009.0,Unknown,Unknown,False
33.0,800668600,Simone Massellani,ITA,2008.0,Unknown,Unknown,False
34.0,800712851,Daniel Jovanovski,AUS,2008.0,Unknown,Unknown,False
35.0,800565895,Matei Todoran,ROU,2008.0,Right Handed,Unknown,False
36.0,800661936,Leon Sloboda,SVK,2009.0,Right Handed,Unknown,False
37.0,800590813,Savva Rybkin,RUS,2009.0,Unknown,Unknown,False
38.0,800705107,Matteo Gribaldo,ITA,2008.0,Right Handed,Double Handed Backhand,False
39.0,800572955,Kirill Filaretov,RUS,2008.0,Unknown,Unknown,False
40.0,800626357,Dan Brand,ISR,2009.0,Right Handed,Unknown,False
41.0,800686514,Kanta Watanabe,JPN,2009.0,Right Handed,Double Handed Backhand,False
42.0,800573442,Marat Salbiev,RUS,2008.0,Unknown,Unknown,False
43.0,800573038,Arnav Paparkar,IND,2008.0,Right Handed,Double Handed Backhand,False
44.0,800678621,John Bothma,RSA,2008.0,Unknown,Unknown,False
45.0,800688513,Xavier Massotte,CAN,2008.0,Unknown,Unknown,False
46.0,800652195,Juan Miguel Bolivar Idarraga,COL,2009.0,Unknown,Unknown,False
47.0,800654119,Connor Doig,RSA,2008.0,Unknown,Unknown,False
48.0,800672226,Benjamin Azar,CAN,2008.0,Unknown,Unknown,False
49.0,800589799,Raffaele Ciurnelli,ITA,2008.0,Unknown,Unknown,False
50.0,800592189,Aleksander Blus,POL,2008.0,Right Handed,Double Handed Backhand,False
51.0,800601948,Rhys Lawlor,GBR,2009.0,Unknown,Unknown,False
52.0,800580909,Kunanan Pantaratorn,THA,2008.0,Right Handed,Double Handed Backhand,False
53.0,800654550,Alvaro Ariel Frutos Alonso,PAR,2008.0,Unknown,Unknown,False
54.0,800589275,Rihards Neimanis,LAT,2008.0,Right Handed,Double Handed Backhand,False
55.0,800731255,Vihaan Reddy,USA,2009.0,Right Handed,Double Handed Backhand,False
56.0,800694107,Cruz Hewitt,AUS,2008.0,Unknown,Unknown,False
57.0,800595066,Lucas Yunez,ECU,2008.0,Unknown,Unknown,False
58.0,800781872,Safir Azam,USA,2009.0,Unknown,Unknown,False
59.0,800567149,Aaron Gabet,FRA,2008.0,Unknown,Unknown,False
60.0,800626993,Mustafa Ege Sik,TUR,2009.0,Right Handed,Double Handed Backhand,False
61.0,800602236,Alejandro Mateo Berge Nourescu,ROU,2008.0,Right Handed,Double Handed Backhand,False
62.0,800597132,Jakub Kusy,CZE,2009.0,Unknown,Unknown,False
63.0,800702395,Ntungamili RAGUIN,BOT,2009.0,Unknown,Unknown,False
64.0,800662768,Jake Dembo,AUS,2008.0,Right Handed,Double Handed Backhand,False
65.0,800637063,Jan Chlodnicki,POL,2008.0,Unknown,Unknown,False
66.0,800650301,Pedro Henrique Chabalgoity,BRA,2008.0,Unknown,Unknown,False
67.0,800626895,Eudald Gonzalez,ESP,2008.0,Unknown,Unknown,False
68.0,800755951,TAKAHIRO KAWAGUCHI,JPN,2010.0,Unknown,Unknown,False
69.0,800697653,Agassi Rusher,USA,2008.0,Unknown,Unknown,False
70.0,800587925,Oliver Majdandzic,GER,2008.0,Unknown,Unknown,False
71.0,800594039,Valentin Gonzalez-Galino,ESP,2008.0,Unknown,Unknown,False
72.0,800635903,Vincent Reisach,GER,2009.0,Unknown,Unknown,False
73.0,800602679,Min Hyuk Cho,KOR,2009.0,Unknown,Unknown,False
74.0,800583661,Mickael Kaouk,FRA,2008.0,Unknown,Unknown,False
75.0,800597850,Carel Aubriel Ngounoue,USA,2008.0,Unknown,Unknown,False
