Player_ID,Opponent_ID,Opponent_Name,Opponent_Nation,Tournament,Date,Surface,Round,Result,Score
800680259,800579895,Ziga Sesko,SLO,Australian Open Junior Championships,24 Jan to 01 Feb 2026,Hard,Quarter-final,L,2-6 6-7
800680259,800702395,Ntungamili RAGUIN,BOT,Australian Open Junior Championships,24 Jan to 01 Feb 2026,Hard,3rd Round,W,6-4 6-3
800680259,800712851,Daniel Jovanovski,AUS,Australian Open Junior Championships,24 Jan to 01 Feb 2026,Hard,2nd Round,W,6-4 7-6
800680259,800686514,Kanta Watanabe,JPN,Australian Open Junior Championships,24 Jan to 01 Feb 2026,Hard,1st Round,W,6-4 6-3
800680259,800692766,Kuan-Shou Chen,TPE,J300 Traralgon,16 Jan to 21 Jan 2026,Hard,Final,W,6-1 6-2
800680259,800657117,Keaton Hance,USA,J300 Traralgon,16 Jan to 21 Jan 2026,Hard,Semi-final,W,6-3 6-4
800680259,800543488,Zangar Nurlanuly,KAZ,J300 Traralgon,16 Jan to 21 Jan 2026,Hard,Quarter-final,W,6-2 6-2
800680259,800696168,Yannik Alvarez,PUR,J300 Traralgon,16 Jan to 21 Jan 2026,Hard,3rd Round,W,7-6 4-6 6-4
800680259,800668600,Simone Massellani,ITA,J300 Traralgon,16 Jan to 21 Jan 2026,Hard,2nd Round,W,6-3 6-3
800680259,800646827,Mark Ceban,GBR,J300 Traralgon,16 Jan to 21 Jan 2026,Hard,1st Round,W,6-0 6-1
800680259,800657117,Keaton Hance,USA,J500 Merida,24 Nov to 30 Nov 2025,Clay,Final,W,6-1 6-1
800680259,800571878,Linus Lagerbohm,FIN,J500 Merida,24 Nov to 30 Nov 2025,Clay,Semi-final,W,7-5 4-6 6-4
800680259,800570117,Jamie Mackenzie,GER,J500 Merida,24 Nov to 30 Nov 2025,Clay,Quarter-final,W,7-6 6-4
800680259,800597075,Stefan Horia Haita,ROU,J500 Merida,24 Nov to 30 Nov 2025,Clay,3rd Round,W,6-0 6-2
800680259,800597850,Carel Aubriel Ngounoue,USA,J500 Merida,24 Nov to 30 Nov 2025,Clay,2nd Round,W,3-6 7-6 6-4
800680259,800587195,Ivan Iutkin,RUS,J500 Merida,24 Nov to 30 Nov 2025,Clay,1st Round,W,6-0 3-6 6-3
800680259,800731255,Vihaan Reddy,USA,J300 Zapopan,17 Nov to 23 Nov 2025,Clay,Semi-final,L,0-6 7-6 5-7
800680259,800652195,Juan Miguel Bolivar Idarraga,COL,J300 Zapopan,17 Nov to 23 Nov 2025,Clay,Quarter-final,W,4-6 7-6 7-5
800680259,800672226,Benjamin Azar,CAN,J300 Zapopan,17 Nov to 23 Nov 2025,Clay,3rd Round,W,7-5 2-6 7-6
800680259,800706150,Carlo Arena Fava,MEX,J300 Zapopan,17 Nov to 23 Nov 2025,Clay,2nd Round,W,6-0 6-3
800680259,800563909,Alexander Vasilev,BUL,US Open Junior Tennis Championships,31 Aug to 06 Sep 2025,Hard,Semi-final,L,6-2 1-6 0-6
800680259,800544649,Oliver Bonding,GBR,US Open Junior Tennis Championships,31 Aug to 06 Sep 2025,Hard,Quarter-final,W,7-6 2-6 6-1
800680259,800692786,Jack Kennedy,USA,US Open Junior Tennis Championships,31 Aug to 06 Sep 2025,Hard,3rd Round,W,6-4 6-4
800680259,800727938,Simon Caldwell,USA,US Open Junior Tennis Championships,31 Aug to 06 Sep 2025,Hard,2nd Round,W,6-4 6-2
800680259,800572931,Niels McDonald,GER,US Open Junior Tennis Championships,31 Aug to 06 Sep 2025,Hard,1st Round,W,6-1 6-4
800680259,800754035,Gavin Goode,USA,J300 Repentigny,24 Aug to 30 Aug 2025,Hard,Final,W,7-6 6-2
800680259,800579895,Ziga Sesko,SLO,J300 Repentigny,24 Aug to 30 Aug 2025,Hard,Semi-final,W,6-1 6-2
800680259,800692766,Kuan-Shou Chen,TPE,J300 Repentigny,24 Aug to 30 Aug 2025,Hard,Quarter-final,W,7-5 6-4
